ArrivalTime;ItemType;ExternalDueDate
10413;1;13440
10417;1;13440
10443;1;13440
10445;4;14400
10458;4;13440
10477;2;13440
10500;1;12480
10529;22;15360
10535;1;13440
10542;10;15360
10547;22;14400
10603;10;14400
10629;2;13440
10676;12;18240
10683;10;14400
10703;8;13440
10706;19;15360
10729;10;15360
10738;2;15360
10803;1;14400
10810;23;16320
10819;1;16320
10844;1;13440
10844;1;16320
10862;6;13440
10862;2;14400
10868;10;13440
10870;22;18240
10875;7;14400
10966;10;15360
11000;1;17280
11001;1;16320
11009;7;14400
11102;18;14400
11104;5;14400
11139;24;17280
11156;1;14400
11193;18;19200
11213;1;19200
11221;22;15360
11270;12;14400
11315;1;14400
11316;2;13440
11339;19;17280
11347;9;15360
11351;10;15360
11379;10;17280
11401;4;13440
11434;1;13440
11437;18;14400
11466;1;17280
11482;22;16320
11660;2;15360
11677;2;15360
11678;6;16320
11705;19;20160
11766;2;21120
11780;1;21120
11797;9;15360
11820;22;15360
11825;12;16320
11848;2;20160
11872;1;19200
11881;18;17280
12073;10;15360
12101;22;18240
12109;10;15360
12111;11;17280
12337;1;16320
12374;1;21120
12521;18;15360
12551;2;16320
12551;1;20160
12565;23;20160
12623;1;20160
12755;2;15360
12799;23;19200
12845;23;17280
12923;22;16320
12924;2;15360
12929;14;16320
12976;4;19200
13001;19;16320
13072;19;16320
13170;2;21120
13189;19;20160
13310;10;15360
13313;10;15360
13379;1;16320
13495;9;21120
13587;9;19200
13651;4;19200
13651;2;22080
13681;2;19200
13870;1;21120
13889;18;16320
13890;10;17280
13967;20;18240
14027;10;20160
14032;19;17280
14054;9;18240
14133;10;17280
14257;14;16320
14409;2;22080
14503;18;24000
14583;9;22080
14719;10;23040
14771;10;17280
14842;6;18240
15045;1;17280
15089;1;20160
15251;6;18240
15331;23;18240
15409;1;20160
15445;1;21120
15446;1;20160
15678;1;18240
15700;16;18240
15803;19;20160
15869;12;20160
15927;1;21120
15983;4;19200
16098;2;24000
16129;1;19200
16185;12;18240
16188;2;22080
16204;1;18240
16233;1;21120
16272;20;22080
16293;23;19200
16293;18;19200
16343;8;20160
16369;10;23040
16381;9;23040
16423;2;21120
16519;1;21120
16558;1;25920
16592;4;24000
16599;4;21120
16622;6;23040
16640;1;21120
16654;1;21120
16724;1;20160
16798;15;20160
16811;2;20160
16839;1;24960
16911;2;21120
17025;10;21120
17048;6;19200
17072;2;21120
17074;15;24960
17107;1;24960
17263;6;19200
17343;8;21120
17358;1;24960
17573;19;24000
17629;10;21120
17637;1;24960
17731;1;21120
17733;2;25920
17823;2;25920
17831;22;21120
17875;10;24960
17927;22;22080
18004;7;23040
18075;1;24960
18421;18;24960
18469;10;24960
18523;1;21120
18558;1;21120
18607;8;21120
18797;10;21120
18850;19;23040
18935;9;22080
19013;10;22080
19149;2;27840
19179;23;23040
19250;23;23040
19325;3;27840
19369;1;25920
19415;1;27840
19541;20;22080
19554;7;23040
19576;23;23040
19590;10;23040
19605;10;25920
19610;24;26880
19675;15;23040
19803;12;24000
19866;1;29760
19899;6;24000
19902;10;28800
19903;1;25920
19911;1;24000
19974;5;24960
20050;15;23040
20051;1;24960
20195;10;25920
20220;2;25920
20306;1;24960
20453;1;29760
20532;22;29760
20553;5;24960
20773;8;26880
20794;1;28800
20817;1;24960
20871;2;25920
20894;1;25920
20900;2;24960
20983;19;26880
20987;1;23040
21077;10;23040
21228;2;24960
21239;19;27840
21297;1;24000
21320;22;25920
21345;19;27840
21430;18;24000
21545;17;27840
21735;22;24960
21750;2;26880
21767;22;24960
22027;1;25920
22097;11;27840
22134;1;24960
22225;18;25920
22351;8;25920
22430;15;24960
22480;1;24960
22485;1;27840
22522;18;30720
22545;1;28800
22667;1;29760
22687;1;27840
22881;2;28800
23016;2;29760
23076;8;31680
23139;4;28800
23153;2;31680
23256;1;28800
23407;2;25920
23447;1;25920
23559;1;31680
23598;19;29760
23668;23;29760
23805;2;28800
23875;9;25920
24003;12;30720
24003;1;27840
24020;6;31680
24164;2;26880
24190;18;27840
24232;9;32640
24242;8;30720
24291;2;31680
24299;1;28800
24341;1;27840
24376;15;31680
24726;1;29760
24964;1;32640
25060;2;28800
25062;1;27840
25097;14;31680
25122;1;32640
25159;10;30720
25224;9;32640
25267;19;30720
25275;1;29760
25298;19;33600
25391;1;32640
25395;3;27840
25402;1;27840
25425;1;31680
25436;1;29760
25447;15;27840
25581;1;32640
25618;2;28800
25790;18;32640
25871;14;32640
25913;2;29760
25961;15;29760
25977;9;32640
26024;1;28800
26105;1;29760
26163;9;35520
26317;1;29760
26335;2;34560
26340;2;31680
26364;11;28800
26424;19;28800
26504;8;28800
26510;1;34560
26550;18;29760
26554;1;29760
26559;2;31680
26590;12;31680
26608;2;29760
26615;5;37440
26650;1;32640
26707;1;32640
26796;1;32640
26829;2;29760
26831;12;33600
26872;2;31680
27041;1;34560
27102;19;29760
27132;18;30720
27151;2;31680
27199;19;34560
27255;2;36480
27451;1;35520
27457;19;34560
27555;5;34560
27620;4;30720
27700;5;34560
27890;1;38400
27905;8;35520
27980;2;37440
28005;14;31680
28009;2;34560
28069;18;35520
28094;1;37440
28113;2;34560
28127;2;31680
28310;1;40320
28375;2;34560
28378;1;37440
28383;2;34560
28408;1;35520
28441;1;38400
28462;22;34560
28513;1;32640
28554;1;31680
28601;1;35520
28618;2;38400
28702;9;31680
28817;23;36480
28848;2;38400
28907;12;38400
29007;10;33600
29047;1;32640
29059;2;33600
29061;22;34560
29118;4;36480
29120;1;31680
29295;1;34560
29300;15;31680
29366;22;33600
29383;23;36480
29384;2;33600
29385;18;38400
29452;1;32640
29453;20;32640
29484;4;35520
29568;1;40320
29600;1;38400
29606;2;35520
29659;4;37440
29661;1;31680
29716;22;33600
29738;8;37440
29768;12;36480
29769;10;36480
29802;9;34560
29844;19;33600
29893;2;35520
29901;23;33600
29975;1;38400
30005;1;38400
30015;23;32640
30020;19;37440
30084;1;35520
30116;19;35520
30278;1;40320
30290;22;36480
30298;19;34560
30301;19;33600
30442;5;33600
30536;22;36480
30538;1;33600
30539;5;33600
30590;19;33600
30606;5;33600
30616;10;37440
30640;1;38400
30642;6;32640
30696;2;39360
30706;7;38400
30764;2;38400
30769;1;33600
30823;1;33600
30862;1;38400
30866;1;38400
30882;2;35520
30895;18;38400
30900;2;34560
30940;2;35520
30961;19;37440
31061;6;34560
31100;15;37440
31109;2;40320
31125;2;39360
31181;2;38400
31201;19;34560
31224;1;34560
31233;2;34560
31245;2;36480
31258;1;38400
31297;3;36480
31346;2;37440
31356;11;39360
31370;2;34560
31433;2;40320
31447;1;38400
31510;2;43200
31572;6;42240
31575;2;37440
31654;10;39360
31667;9;34560
31735;2;37440
31740;9;40320
31866;2;34560
31872;1;35520
31888;2;39360
31953;19;40320
31987;11;36480
31991;2;38400
32051;4;35520
32100;1;37440
32178;10;35520
32193;2;39360
32237;5;34560
32261;1;34560
32272;15;37440
32308;2;39360
32372;1;34560
32383;2;36480
32389;2;42240
32395;11;40320
32400;2;39360
32407;1;38400
32412;1;35520
32442;2;39360
32549;2;38400
32596;2;39360
32658;2;37440
32693;2;39360
32718;5;40320
32724;1;37440
32725;6;42240
32755;1;39360
32774;6;42240
32819;15;37440
32852;14;42240
32858;1;37440
32859;19;44160
32891;19;35520
32905;14;42240
32931;4;36480
32959;11;38400
32961;10;38400
32987;2;36480
33006;9;35520
33012;6;39360
33059;11;36480
33067;6;45120
33100;2;36480
33107;1;38400
33109;19;37440
33110;1;37440
33183;1;40320
33224;2;36480
33226;6;42240
33227;2;35520
33265;1;39360
33286;1;37440
33313;1;44160
33329;10;39360
33329;1;38400
33350;23;43200
33389;2;40320
33422;1;39360
33437;18;39360
33440;5;35520
33514;9;39360
33582;22;36480
33628;2;39360
33663;6;37440
33665;2;38400
33671;2;40320
33701;2;42240
33720;4;36480
33772;1;44160
33799;1;37440
33910;1;39360
33930;1;38400
33934;9;38400
33978;1;38400
33994;23;44160
34013;1;38400
34020;6;42240
34186;1;38400
34212;19;46080
34351;19;39360
34381;1;40320
34419;3;40320
34463;1;44160
34486;2;46080
34557;6;40320
34634;6;43200
34695;1;38400
34700;2;40320
34715;1;39360
34721;1;38400
34743;1;38400
34744;15;42240
34747;21;43200
34776;19;39360
34780;1;44160
34781;6;44160
34851;1;38400
34851;1;37440
34854;1;38400
34872;19;40320
34885;1;40320
34924;2;42240
34932;4;37440
34949;16;41280
35022;2;37440
35047;1;38400
35084;12;40320
35095;14;42240
35106;1;44160
35195;1;39360
35207;5;40320
35241;1;38400
35242;19;43200
35245;19;41280
35260;19;39360
35263;1;40320
35269;1;37440
35294;3;41280
35302;2;43200
35326;1;38400
35347;2;39360
35352;1;37440
35380;2;39360
35382;5;39360
35422;14;42240
35437;9;40320
35463;1;39360
35468;1;38400
35497;2;38400
35616;1;42240
35617;3;43200
35625;23;40320
35626;18;44160
35656;2;39360
35719;11;39360
35727;2;39360
35741;1;40320
35748;1;39360
35758;6;44160
35803;14;42240
35872;2;48000
35886;1;42240
35887;2;40320
35897;1;42240
35924;1;39360
36040;9;39360
36063;5;40320
36101;19;40320
36108;13;44160
36135;19;41280
36150;6;43200
36179;6;40320
36182;2;38400
36195;1;38400
36217;5;38400
36230;1;38400
36232;1;38400
36233;2;39360
36233;1;38400
36252;6;43200
36268;2;39360
36282;2;39360
36293;6;42240
36304;2;48000
36315;19;41280
36328;6;40320
36329;2;38400
36420;2;46080
36427;19;42240
36433;1;38400
36440;2;42240
36477;7;38400
36496;6;39360
36523;2;46080
36529;2;42240
36545;5;41280
36547;16;41280
36552;2;46080
36692;23;47040
36731;10;46080
36769;9;39360
36812;19;41280
36843;18;40320
36853;7;43200
36898;1;42240
36937;2;42240
36966;5;41280
36974;1;39360
36983;1;39360
37003;2;39360
37061;1;39360
37092;1;39360
37095;9;40320
37114;10;41280
37136;15;45120
37138;9;40320
37154;2;46080
37201;2;40320
37210;12;45120
37217;1;46080
37218;2;42240
37241;6;39360
37252;19;43200
37261;10;45120
37320;9;39360
37351;15;40320
37351;2;42240
37380;2;45120
37392;2;43200
37394;9;42240
37412;5;40320
37414;1;45120
37437;1;44160
37446;2;45120
37504;4;48000
37529;2;48960
37559;19;41280
37578;18;44160
37580;18;45120
37600;18;40320
37607;2;42240
37677;1;46080
37707;4;41280
37707;1;44160
37757;13;46080
37760;9;43200
37781;2;42240
37808;23;43200
37909;10;42240
37913;2;41280
37924;10;44160
37948;2;42240
37965;1;40320
37977;4;46080
37991;18;45120
38012;2;45120
38031;2;43200
38032;19;46080
38075;23;43200
38076;1;48960
38079;19;46080
38125;10;41280
38128;19;46080
38135;19;43200
38155;2;45120
38161;2;42240
38170;9;48960
38179;6;44160
38180;6;44160
38227;18;47040
38234;1;45120
38242;10;42240
38271;4;46080
38281;2;41280
38281;2;40320
38282;2;42240
38328;23;40320
38361;21;47040
38363;1;42240
38386;18;44160
38396;19;41280
38414;9;46080
38425;16;41280
38431;1;45120
38463;19;43200
38485;2;42240
38488;19;44160
38507;6;44160
38517;14;45120
38529;2;42240
38549;9;42240
38555;2;41280
38555;1;46080
38565;18;44160
38566;19;42240
38652;1;42240
38669;19;46080
38683;6;44160
38687;2;42240
38711;10;46080
38715;3;43200
38724;1;46080
38737;6;42240
38757;11;48000
38769;3;43200
38774;10;50880
38777;2;42240
38781;1;42240
38801;1;42240
38811;23;43200
38828;19;42240
38852;4;41280
38869;2;50880
38925;22;46080
38943;23;43200
38956;24;43200
38975;10;50880
39023;1;45120
39027;1;47040
39082;15;42240
39152;2;42240
39210;12;47040
39232;5;43200
39253;1;44160
39265;6;44160
39349;2;42240
39374;18;45120
39388;12;47040
39423;15;50880
39425;14;47040
39465;19;44160
39469;19;44160
39486;8;44160
39496;10;44160
39517;19;43200
39520;1;47040
39540;1;47040
39551;10;44160
39551;2;43200
39669;2;46080
39689;2;48000
39728;18;43200
39765;1;42240
39820;1;45120
39861;19;45120
39872;1;42240
39875;2;42240
39886;1;42240
39894;15;46080
39896;19;42240
39897;1;47040
39932;6;42240
39952;1;47040
39976;19;46080
39996;3;44160
40020;2;43200
40023;18;44160
40055;1;46080
40077;1;46080
40086;23;44160
40118;22;46080
40129;2;45120
40131;2;43200
40164;15;43200
40167;1;47040
40168;15;42240
40177;9;42240
40201;19;44160
40204;1;46080
40209;18;47040
40256;2;42240
40266;19;46080
40300;10;42240
40307;1;44160
40347;1;47040
40356;1;48960
40383;4;48000
40427;4;45120
40428;2;46080
40458;1;46080
40476;1;47040
40493;6;47040
40502;2;52800
40527;19;49920
40580;1;47040
40580;1;45120
40602;2;43200
40617;19;48960
40630;5;49920
40633;6;45120
40643;19;49920
40647;3;45120
40661;8;48000
40714;11;48000
40716;19;46080
40717;2;48960
40728;10;48960
40731;9;50880
40736;2;45120
40784;19;43200
40814;2;47040
40816;2;52800
40841;6;48960
40898;6;44160
40905;1;48960
40906;19;46080
40925;1;44160
41035;1;45120
41063;19;49920
41063;4;46080
41063;2;47040
41078;18;45120
41092;8;45120
41104;1;48960
41114;19;49920
41114;6;45120
41129;2;48960
41153;2;43200
41161;10;45120
41195;10;44160
41219;2;48000
41236;1;51840
41260;7;45120
41271;4;51840
41276;1;44160
41297;1;44160
41307;2;46080
41332;6;48960
41346;6;47040
41361;1;47040
41381;16;45120
41393;19;47040
41439;2;45120
41441;1;46080
41455;1;45120
41462;19;46080
41496;1;50880
41534;7;48960
41544;19;47040
41554;1;47040
41557;22;46080
41559;20;48000
41593;2;48960
41599;6;45120
41661;1;50880
41668;5;48000
41742;6;44160
41753;2;45120
41787;1;46080
41804;10;44160
41827;5;48960
41827;1;47040
41847;1;47040
41848;6;47040
41854;19;49920
41856;13;50880
41885;1;45120
41895;6;48960
41941;23;50880
41955;1;45120
41974;10;52800
41977;6;47040
41995;8;44160
42066;2;45120
42087;18;46080
42128;1;47040
42151;2;48960
42154;23;44160
42157;9;48960
42187;1;45120
42214;2;48960
42223;9;49920
42228;2;44160
42236;1;44160
42260;6;45120
42265;2;45120
42302;8;48000
42337;1;46080
42360;1;48960
42374;3;48000
42415;1;47040
42462;15;45120
42481;2;48960
42490;1;48960
42492;19;54720
42496;2;45120
42497;4;48000
42508;2;45120
42510;2;48960
42525;1;53760
42529;4;49920
42541;1;47040
42546;1;49920
42564;16;52800
42583;1;48960
42622;4;54720
42669;6;48000
42782;1;48960
42797;6;49920
42809;1;47040
42820;18;53760
42863;19;50880
42909;19;47040
42922;2;50880
42924;1;54720
42939;8;46080
42957;8;45120
42958;24;47040
42959;1;49920
42966;9;45120
42990;1;46080
43000;9;46080
43021;19;46080
43024;6;51840
43037;6;47040
43048;12;49920
43068;10;47040
43069;6;50880
43069;2;47040
43074;4;48000
43079;22;48960
43098;19;46080
43102;1;50880
43114;1;47040
43115;1;45120
43119;9;46080
43140;1;50880
43148;18;47040
43162;2;51840
43180;4;53760
43292;9;49920
43314;2;48960
43341;20;49920
43364;1;47040
43380;1;48960
43381;1;47040
43382;23;50880
43389;2;48000
43390;19;50880
43399;2;51840
43402;19;47040
43455;1;47040
43512;2;48960
43513;20;50880
43544;23;47040
43549;19;46080
43562;1;51840
43573;1;51840
43581;2;48960
43617;6;48960
43642;10;55680
43657;12;47040
43660;5;48960
43672;22;46080
43685;6;48000
43706;19;47040
43783;2;48960
43792;19;46080
43799;5;54720
43815;7;48960
43836;8;48000
43867;3;49920
43883;4;48000
43897;1;48960
43906;1;47040
43907;6;48960
43975;1;46080
43985;2;48000
43993;19;49920
44001;1;51840
44003;9;48000
44016;5;50880
44020;6;50880
44023;10;55680
44027;14;49920
44034;10;48960
44039;5;49920
44080;12;47040
44088;1;46080
44116;10;55680
44123;19;51840
44180;1;48960
44190;2;51840
44224;24;49920
44263;19;49920
44272;19;48960
44276;9;50880
44294;19;49920
44294;2;51840
44328;1;52800
44343;9;51840
44368;19;50880
44369;6;56640
44388;18;51840
44433;19;50880
44436;8;48960
44452;8;49920
44466;2;48960
44486;19;49920
44487;3;49920
44515;4;53760
44533;18;48960
44563;2;52800
44578;1;48960
44586;4;51840
44624;2;51840
44646;10;48960
44649;2;51840
44665;2;48960
44666;18;48960
44668;8;50880
44730;19;49920
44741;2;48000
44742;1;48960
44752;23;55680
44754;1;48960
44767;1;47040
44781;1;50880
44785;19;54720
44799;6;48000
44844;1;52800
44846;19;47040
44878;2;52800
44883;14;51840
44885;2;48960
44913;2;51840
44921;8;48960
44928;20;52800
44945;10;55680
44993;14;47040
45021;2;47040
45028;20;48000
45035;1;49920
45048;16;48000
45064;3;48000
45105;2;50880
45110;5;48960
45112;1;50880
45129;2;48960
45138;2;48000
45167;5;53760
45174;10;48960
45179;19;51840
45191;10;48960
45202;2;54720
45227;3;48000
45227;2;52800
45228;2;48960
45261;8;49920
45272;1;50880
45301;18;50880
45331;18;49920
45346;23;48960
45350;9;55680
45385;2;48960
45393;15;53760
45398;19;53760
45399;14;50880
45411;19;53760
45418;10;49920
45427;1;48960
45437;1;48960
45441;22;51840
45562;4;53760
45568;4;51840
45572;2;48960
45625;2;51840
45630;1;51840
45639;12;49920
45645;2;52800
45655;2;56640
45657;14;48960
45687;1;54720
45689;17;48000
45701;10;55680
45706;9;48960
45710;6;51840
45725;2;48960
45728;19;51840
45754;19;49920
45754;5;49920
45771;12;48960
45831;23;48960
45838;23;48960
45854;23;51840
45871;4;48000
45873;19;49920
45878;18;53760
45880;2;55680
45882;6;52800
45897;7;48960
45913;10;52800
45946;2;50880
45963;18;48960
45996;6;48960
46000;9;50880
46003;2;51840
46015;2;48960
46044;2;52800
46111;1;58560
46161;6;49920
46184;1;52800
46204;14;51840
46214;1;50880
46226;1;49920
46227;5;50880
46231;19;58560
46251;1;48960
46273;2;55680
46294;2;54720
46302;10;49920
46342;1;56640
46346;2;55680
46370;2;52800
46373;10;55680
46430;22;57600
46433;19;48960
46442;2;51840
46468;10;50880
46526;1;51840
46538;22;49920
46569;2;48960
46571;19;49920
46576;2;50880
46583;1;52800
46588;2;51840
46608;12;52800
46618;15;58560
46634;1;50880
46640;1;52800
46652;10;49920
46717;19;51840
46737;2;48960
46757;5;48960
46768;16;52800
46769;22;52800
46779;19;50880
46785;19;49920
46790;2;54720
46833;6;49920
46859;6;49920
46876;10;55680
46891;2;48960
46895;2;50880
46916;5;51840
46916;2;48960
46918;2;48960
46919;8;54720
46927;7;50880
46947;19;53760
46954;19;52800
46961;2;51840
46962;1;49920
46970;2;48960
46973;2;55680
46974;4;54720
46988;19;53760
47019;1;53760
47022;1;51840
47033;9;50880
47036;3;56640
47044;5;53760
47056;1;53760
47058;2;54720
47061;1;50880
47065;2;51840
47072;1;53760
47086;5;51840
47089;19;54720
47095;4;51840
47105;19;52800
47105;6;58560
47144;2;54720
47175;2;52800
47191;1;54720
47240;22;51840
47240;19;56640
47244;2;50880
47246;9;50880
47259;2;55680
47293;2;54720
47310;4;53760
47311;19;52800
47331;1;54720
47337;1;53760
47339;19;53760
47341;2;54720
47341;1;52800
47341;1;59520
47358;11;51840
47360;22;51840
47362;2;54720
47377;4;53760
47410;9;54720
47429;18;53760
47442;14;50880
47464;9;50880
47464;1;50880
47473;2;53760
47517;2;55680
47541;2;53760
47550;9;50880
47575;6;51840
47580;18;51840
47581;6;56640
47594;19;58560
47625;1;53760
47630;10;54720
47641;20;50880
47646;20;50880
47659;2;54720
47675;19;53760
47676;18;50880
47746;5;54720
47749;6;51840
47763;1;56640
47778;19;59520
47794;18;53760
47797;19;50880
47798;18;52800
47799;2;54720
47805;2;50880
47817;23;50880
47837;13;54720
47867;2;54720
47875;10;50880
47908;19;56640
47921;8;52800
47933;19;51840
47966;2;50880
47966;2;51840
47984;1;52800
48004;23;60480
48049;2;56640
48083;4;51840
48089;1;54720
48101;6;60480
48101;2;54720
48116;19;51840
48119;1;57600
48128;2;53760
48153;10;53760
48159;23;55680
48170;1;54720
48186;1;52800
48187;1;50880
48193;2;52800
48196;7;52800
48210;14;55680
48227;2;51840
48241;14;51840
48244;1;57600
48260;2;59520
48262;18;56640
48270;15;50880
48279;1;54720
48279;1;51840
48282;19;51840
48308;2;56640
48311;5;56640
48319;6;57600
48331;15;53760
48335;2;51840
48335;1;56640
48343;9;54720
48355;1;53760
48367;1;58560
48369;19;59520
48382;5;51840
48388;3;54720
48392;19;56640
48398;1;54720
48399;19;54720
48439;10;52800
48448;2;53760
48448;2;51840
48498;7;53760
48505;1;50880
48518;2;58560
48542;19;50880
48544;23;57600
48551;2;51840
48584;10;56640
48584;1;51840
48618;20;52800
48635;19;54720
48649;4;51840
48651;2;55680
48673;10;55680
48681;2;55680
48683;2;54720
48689;14;52800
48690;18;50880
48707;1;54720
48708;1;53760
48780;6;56640
48807;6;56640
48808;18;50880
48825;6;53760
48836;1;54720
48859;5;54720
48871;2;51840
48874;10;58560
48875;10;50880
48913;2;54720
48922;2;50880
48936;1;52800
48951;2;54720
48965;2;55680
48969;2;54720
48983;2;57600
48996;9;55680
49067;18;53760
49102;19;51840
49121;2;54720
49122;10;56640
49130;1;52800
49133;5;51840
49152;20;52800
49169;2;51840
49170;6;55680
49184;4;51840
49184;2;54720
49197;12;53760
49204;22;57600
49217;1;51840
49256;10;55680
49263;3;56640
49271;1;56640
49272;10;52800
49279;8;53760
49318;1;57600
49338;5;51840
49342;4;53760
49344;2;55680
49348;2;54720
49383;5;51840
49388;13;52800
49388;5;52800
49410;4;52800
49411;19;53760
49430;2;57600
49466;2;55680
49467;4;58560
49472;2;54720
49479;18;54720
49482;4;52800
49492;1;54720
49501;4;54720
49513;10;55680
49517;6;60480
49518;1;53760
49520;2;51840
49529;1;53760
49558;1;54720
49561;9;55680
